id,data_file_id,row_count,sample_file_path,extracted_at,extractor_version,llm_provider,column_name,dtype,description,min_value,max_value,null_count,sample_values
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,time,datetime,Timestamp of the observation.,NULL,NULL,0,"[""2002-01-01 00:00:00"", ""2002-01-02 00:00:00"", ""2002-01-03 00:00:00"", ""2002-01-04 00:00:00"", ""2002-01-05 00:00:00""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NEE_VUT_REF,float,"Net Ecosystem Exchange (VUT, daily) (units: gC m-2 d-1)",-9999,7.3209,0,"[""0.444362"", ""1.31567"", ""5.8998"", ""2.16893"", ""2.14902""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NEE_CUT_REF,float,"Net Ecosystem Exchange (CUT, daily) (units: gC m-2 d-1)",-9999,7.12463,0,"[""0.163963"", ""1.0598"", ""4.80004"", ""2.06677"", ""1.12955""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NEE_VUT_REF_QC,float,Quality flag for NEE_VUT_REF (daily fraction),-9999,1,0,"[""0.458333"", ""0.5"", ""1.0"", ""1.0"", ""1.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NEE_CUT_REF_QC,float,Quality flag for NEE_CUT_REF (daily fraction),-9999,1,0,"[""0.458333"", ""0.5"", ""1.0"", ""1.0"", ""1.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,stl1_mean,float,Soil temperature level 1 (mean) (units: K),298.5936584472656,304.1011657714844,0,"[""302.7050476074219"", ""302.2807922363281"", ""301.3097229003906"", ""300.5486755371094"", ""300.8293762207031""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,DetailedQA,float,MODIS VI Detailed Quality Assessment flags,-9999,39189,0,"[""4110.0"", ""37145.0"", ""37145.0"", ""37145.0"", ""37145.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,EVI,float,Enhanced Vegetation Index,-9999,0.6283000000000001,0,"[""0.2615"", ""0.5083"", ""0.5083"", ""0.5083"", ""0.5083""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NDVI,float,Normalized Difference Vegetation Index,-9999,0.8607,0,"[""0.7152000000000001"", ""0.7152000000000001"", ""0.41550000000000004"", ""0.41550000000000004"", ""0.41550000000000004""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,SummaryQA,float,MODIS VI Summary Quality flags,-9999,3,0,"[""3.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,sur_refl_b02,float,MODIS NIR surface reflectance (841–876 nm),-9999,0.5005000000000001,0,"[""0.43960000000000005"", ""0.35660000000000003"", ""0.35660000000000003"", ""0.35660000000000003"", ""0.35660000000000003""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,sur_refl_b03,float,MODIS Blue surface reflectance (459–479 nm),-9999,0.3453,0,"[""0.23570000000000002"", ""0.0472"", ""0.0472"", ""0.0472"", ""0.0472""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,sur_refl_b07,float,MODIS SWIR2 surface reflectance (2105–2155 nm),-9999,0.2005,0,"[""0.2005"", ""0.09920000000000001"", ""0.09920000000000001"", ""0.09920000000000001"", ""0.09920000000000001""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,Clear_sky_days,float,Number of clear-sky daylight hours (units: count),-9999,252,0,"[""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,Clear_sky_nights,float,Number of clear-sky nighttime hours (units: count),-9999,251,0,"[""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,Emis_31,float,"Surface emissivity (MODIS band 31, 10.78–11.28 μm)",-19.998,0.492,0,"[""0.492"", ""-19.998"", ""-19.998"", ""-19.998"", ""-19.998""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,Emis_32,float,"Surface emissivity (MODIS band 32, 11.77–12.27 μm)",-19.998,0.496,0,"[""0.494"", ""-19.998"", ""-19.998"", ""-19.998"", ""-19.998""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,LST_Day_1km,float,Daytime Land Surface Temperature (units: K),-9999,306.40000000000003,0,"[""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,LST_Night_1km,float,Nighttime Land Surface Temperature (units: K),-9999,297.82,0,"[""297.82"", ""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,QC_Day,float,MODIS LST Day QA,-9999,129,0,"[""2.0"", ""2.0"", ""2.0"", ""2.0"", ""2.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,QC_Night,float,MODIS LST Night QA,-9999,129,0,"[""2.0"", ""2.0"", ""2.0"", ""2.0"", ""2.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,Fpar,float,Fraction of absorbed PAR by vegetation,-9999,0.87,0,"[""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,FparExtra_QC,float,FPAR extra quality flag,-9999,72,0,"[""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,FparLai_QC,float,FPAR/LAI main quality flag,-9999,115,0,"[""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,FparStdDev,float,FPAR standard deviation (MODIS),-9999,0.07,0,"[""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0"", ""-9999.0""]"
