id,data_file_id,row_count,sample_file_path,extracted_at,extractor_version,llm_provider,column_name,dtype,description,min_value,max_value,null_count,sample_values
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,time,datetime,"sample values: [""2002-01-01 00:00:00"", ""2002-01-02 00:00:00"", ""2002-01-03 00:00:00"", ""2002-01-04 00:00:00"", ""2002-01-05 00:00:00""]; range NULL to NULL",NULL,NULL,0,"[""2002-01-01 00:00:00"", ""2002-01-02 00:00:00"", ""2002-01-03 00:00:00"", ""2002-01-04 00:00:00"", ""2002-01-05 00:00:00""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NEE_VUT_REF,float,"sample values: [""0.444362"", ""1.31567"", ""5.8998"", ""2.16893"", ""2.14902""]; range -9999 to 7.3209",-9999,7.3209,0,"[""0.444362"", ""1.31567"", ""5.8998"", ""2.16893"", ""2.14902""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NEE_CUT_REF,float,"sample values: [""0.163963"", ""1.0598"", ""4.80004"", ""2.06677"", ""1.12955""]; range -9999 to 7.12463",-9999,7.12463,0,"[""0.163963"", ""1.0598"", ""4.80004"", ""2.06677"", ""1.12955""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NEE_VUT_REF_QC,float,"sample values: [""0.458333"", ""0.5"", ""1.0"", ""1.0"", ""1.0""]; range -9999 to 1",-9999,1,0,"[""0.458333"", ""0.5"", ""1.0"", ""1.0"", ""1.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NEE_CUT_REF_QC,float,"sample values: [""0.458333"", ""0.5"", ""1.0"", ""1.0"", ""1.0""]; range -9999 to 1",-9999,1,0,"[""0.458333"", ""0.5"", ""1.0"", ""1.0"", ""1.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,stl1_mean,float,"sample values: [""302.7050476074219"", ""302.2807922363281"", ""301.3097229003906"", ""300.5486755371094"", ""300.8293762207031""]; range 298.5936584472656 to 304.1011657714844",298.5936584472656,304.1011657714844,0,"[""302.7050476074219"", ""302.2807922363281"", ""301.3097229003906"", ""300.5486755371094"", ""300.8293762207031""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,DetailedQA,float,"sample values: [""4110.0"", ""37145.0"", ""37145.0"", ""37145.0"", ""37145.0""]; range -9999 to 39189",-9999,39189,0,"[""4110.0"", ""37145.0"", ""37145.0"", ""37145.0"", ""37145.0""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,EVI,float,"sample values: [""0.2615"", ""0.5083"", ""0.5083"", ""0.5083"", ""0.5083""]; range -9999 to 0.6283000000000001",-9999,0.6283000000000001,0,"[""0.2615"", ""0.5083"", ""0.5083"", ""0.5083"", ""0.5083""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,NDVI,float,"sample values: [""0.7152000000000001"", ""0.7152000000000001"", ""0.41550000000000004"", ""0.41550000000000004"", ""0.41550000000000004""]; range -9999 to 0.8607",-9999,0.8607,0,"[""0.7152000000000001"", ""0.7152000000000001"", ""0.41550000000000004"", ""0.41550000000000004"", ""0.41550000000000004""]"
6582d71f-3bf9-4901-9c8e-7a4790c2fd70,daace0f8-5784-4ae6-abf8-daeadfdb6e19,3652,samples/daace0f8-5784-4ae6-abf8-daeadfdb6e19_sample.json,2026-03-17 18:44:02.550083+00,1.0.0,gemini/gemini-2.5-flash,SummaryQA,float,"sample values: [""3.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0""]; range -9999 to 3",-9999,3,0,"[""3.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0""]"
